Address Title,Address Code,Address Line 1,City,Postal Code,Destination Address
AF_JD_FR_,"""plot No -23e To 25e, Road No 3 Diamon",Surat,SURAT,394230,TRUE
AF_WONDE,_201003_,"Khasra No. 824 Vardhman Puram, Morta Ghaziabad (u.p.) - 2010  Ghaziabad, UP 201003",GHAZIABAD,201003,TRUE
AF_PLAN_3,_AF_PLAN_382430_565,"Plantex, Plot No-5/a, Road No-1, Kathwada Gidc,  Ahmedabad, GJ 382430",AHMEDABAD,382430,TRUE
AF_RUHE,_AF_RUHE_382213_603,"Survey No. 606 (old Survey No. 1439) Rishi Kiran Logisitics  Moraiya  Ahmedabad, GJ 382213",AHMEDABAD,382213,TRUE
T2XD,_RJ.BHILWARA,"Plot no- B-1, Hamirgarh Road,Bhilwara",BHILWARA,311001,TRUE
OBXR,"01/a 1st Floor, Anz Infinitynear Ranipur Churchn, ","Ahmedabad, Gujarat 382405",AHMEDABAD,382405,TRUE
20 CUBE,20 CUBE WAREHOUSING & DISTR PVT LTD,"20 Cube Warehousing & Distribution Pvt. Ltd., Kh. No. 39/40/41-229/194-42,Deeppura sikar road, Hamada, jaipur-302013",JAIPUR ,302013,TRUE
KHEDA,20 Cube Warehousing and Distribution Pvt. Ltd.,"Shed “C1”Prime warehouse Survey no.691,National highway-8 Vill-hariyala",KHEDA,387120,TRUE
OAAI,23 Maharaja EstateBehind Anand Hotel,"Sarkhej Sanand RoadSar AHMEDABAD, GUJARAT 382210",AHMEDABAD,382210,TRUE
FIDA,370/2/1 near Bharat petrol pump,"Nemwar Road, INDORE, MADHYA PRADESH",INDORE,452003,TRUE
SMPR,"532, Nr. Maan Lake, Village","Ode, Nr. SP Ring Road,  Ahmedabad",AHMEDABAD,382423,TRUE
V027,A.R. ENTERPRISESE,"74, SITE-C UPSIDC INDUSTRIAL AREA SIKANDRA AGRA  Uttar Pradesh ",AGRA,282007,TRUE
60400209,AAKASH FOOD PRODUCTS PRIVATE L,"DEWANMARO AYMA,AAKASH FOO",Kharagpur,721304,TRUE
221964446,AB POLYMER,"A B POLYMERS, Khasra no. 76/14/1, mie-b,  Bahadurgarh, Haryana ",BAHADURGARH,124507,TRUE
