Address Code,Address Title,Address Line 1,Address Line 2,City,Postal Code,Origin Address
2803,RELIANCE RETAIL LTD UDAIPUR,"(2803), PLOT NO. 176A TAK COMPLEX FATEHPURA SCHEME FATEHPURA MAIN ROAD, UDAIPUR RAJASTHAN",,UDAIPUR,313001,TRUE
6205,CROWN INTERIORZ MALL,"CROWN INTERIORZ MALL 12/7, SECTOR-35, 21KM STONE, NH-2, NEAR SARAI KHWAJA, DELHI MATHURA ROAD, FARIDABAD, HARYANA, PIN NO - 121003",,FARIDABAD,121003,TRUE
6703,SMART MANEK LAL ROAD NAVSARI,"RELAINCE SUPER, OPP. HEAD POSTOFFICE, NR SANDHKUVA POLICE STATION, MANEKLAL ROAD",,NAVSARI,396445,TRUE
8909,RRL CDIT ORION BUSINESS PARK,RELIANCE RETAIL LIMITED GROUND FLOR NEXT TO CINEWOUNDER MALL GB ROAD THANE GB ROAD THANE,,MUMBAI,400607,TRUE
9380,PL DMK AGRO COLD STORE RABALE,NAVI MUMBAI,,NAVI MUMBAI,400001,TRUE
382220,RAMDEV FOOD PRODUCTS PVT LTD,"RAMDEV SPICE WORLD, CHANGODER",,BAVLA,322220,TRUE
600124,HERBAL CONCEPTS,"PLOT NO. 2, SECTOR 1A, INTEGRATED INDUSTRIAL ESTATE, SIDCUL, 249403",,HARIDWAR,249403,TRUE
834010,NAMKUM INDUSTRIAL AREA,"AT: 10-P, NAMKUM INDUSTRIAL AREA, OPP. AAJ PRESS, RANCHI - 834010",,RANCHI,834010,TRUE
847234,M/S PANDOUL FLOUR MILLS PVT LTD.,"AT- PLOTE NO.-123, 125 & 127 PANDOUL INDUSTRIAL AREAPO/PS Â€“ PANDOUL, MADHUBANI SADAR, MADHUBANI, BIHAR - 847234",,MADHUBANI,847234,TRUE
10004443,SHREE AMBAJI FOOD PRODUCTS PVT LTD,RANCHI,,RANCHI,,TRUE
10023414,JEWEL CONSUMER CARE PVT LTD,"JEWEL CONSUMER CARE PVT LTD SUBHAAG B 15 16 RAMIN PARK OLD PADRA ROAD VADODARA, GUJARAT",,VADODARA,390020,TRUE
10037115,JEETMAL LAKHMICHAND,KRISHI UPAJ MANDI,,ASHTA,466116,TRUE
10070498,ASIAN LAKTO INDUSTRIES LTD,"VPO JANDIALI, NEAR KOHARA, CHANDIGHAD ROAD, LUDHIANA",,LUDHIANA,141001,TRUE
10129676,BIKANERVALA FOODS PVT LTD,"BIKANERVALA FOODS PRIVATE LIMITED M MURAD GARHI, YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AREA NOIDA UP UTTAR PRADESH",,NOIDA,203209,TRUE
10135484,V.L.S. FOODS PVT LTD,"V.L.S. FOODS PVT LTD, H-1-1550 PH-I RICO INDL. AREA, BHIWADI DISTT. ALWAR, RAJASTHAN",,BHIWADI,301019,TRUE
10149446,VINOD KUMAR AND BROTHERS PVT LTD.,HARIDWAR,,HARIDWAR,,TRUE
10156959,ASHIRWAD OILS PVT LTD,"E 374 PHASE I, INDUSTRIAL AREA BHIWADI, ALWAR RAJASTHAN",,BHIWADI,301019,TRUE
10178928,HITKARI GRAM UDYOG SANGH,"VPO ISMAILLA 18 57 KM STONE DELHI ROHTAK ROAD ROHTAK ROHTAK, HARYANA INDIA PH",,ROHTAK,124001,TRUE
10187250,AKASH YOG HEALTH PRODUCTS PVT LTD,PLOT NO 03 SECTOR 1B IIE UTTARAKHAND SIDCUL HARIDWAR,,HARIDWAR,249403,TRUE
10192201,WINGS AGRO PVT LTD,"AT: S. NO 188, N.H.NO.8 -B, OPP. EVEREST FERTILIZER, AMUL CASTING STREET, VERAVAL (SHAPAR) TA. KOTDA SANGANI, RAJKOT (GUJARAT)",,RAJKOT,360024,TRUE
10199000,RAJEEV INDUSTRIES 36 INDUSTRIAL AREA,"RAJEEV INDUSTRIES TRILOKPUR ROAD KALA AMB KALA AMB SI SIRMAUR, HIMACHAL PRADESH INDIA",,SIRMAUR,171226,TRUE
10204267,DEEP GREEN INCORPORATION,"B-267, SECTOR-3, BAWANA INDUSTRIAL AREA, BAWANA, DELHI",,DELHI,110039,TRUE
10216942,ALOK INDUSTRIES,SILVASSA,,SILVASSA,396230,TRUE
10273893,VARK SNACK FOOD PVT LTD,"SP 1192 F RIICO INDUSTRIAL AREA PHASE IV, BHIWADI ALWAR, RAJASTHAN",,ALWAR,301019,TRUE
10281327,MEERUT PACKAGING INDUSTRIES,"KHASRA NO 740, 741, 745 & OTHERS, VILLAGE MUSSIORIE, NH-119, MAWANAROAD",,MEERUT,250002,TRUE
10296725,SWG INDUSTRIES LTD,UDHAM SINGH NAGAR,,UDHAM SINGH NAGAR,,TRUE
10305529,INDOCHEM,"INDO CHEM LABORATORIES ; A-2/2 INDUSTRIAL AREA, GORWA, VADODARA, GUJARAT INDIA ; MFG LIC NO GC/1202",,VADODARA,390016,TRUE
10348418,KAYEM FOOD INDUSTRIES PVT LTD,"PLOT NO. 2244-47, HSIIDC, INDUSTRIAL ESTATE, RAI SONIPAT, KAYEM FOOD, SONIPAT",,SONIPAT,131029,TRUE
10348425,KUMAR AGRO FOODS,"SURVEY NO 40, KUMAR COMPOUND, SOANSHIV VILLAGE, WADA TILSA ROAD, TALUKA WADA, DIST-PALGHAR, THANE, MAHARASHTRA",,THANE,421303,TRUE
10348434,BHAWANI SILICATE INDUSTRIES,A - 7 GANGWAL PARK JAIPUR,,JAIPUR,302004,TRUE
11100895,ABSTRACT MANNEQUINS,"ABSTRACT MANNEQUINS PVT LTD., PLOT NO 12 HEMLA INDUSTRIAL ESTATE, FARIDABAD : HR",,FARIDABAD,121001,TRUE
20001741,JAINAM INVAMED PVT LTD,"111/112, SHUBH INDUSTRIAL ESTATE, NEAR CHINCHPADA BUS STOP, WALIV ROAD, VASAI EAST Â€“ 401208, PALGHAR, MAHARASHTRA",,PALGHAR,103230,TRUE
20005115,RELISH FOODS,"KILERAMA, KHASRA NO 128 VILLAGE DALPATPURA, NEAR JATAKHEDA ROAD INDORE BHOPAL HIGHWAY, ASHTA, ASHTA MADHYA PRADESH",,ASHTA,466116,TRUE
29000563,BIKANERWALA FOOD PVT LTD,"KHASRA NO 1765, 66, 68, 69, 70, 71, 72, 73, 74, 75, 1872, 1873/2 &1874/2, VILLAGE JATOLA, TEHSIL KHARKHAUDA, KHARKHODA, SONIPAT, HARYANA",,SONIPAT,131 402,TRUE
30100885,VIDEOTEX INTERNATIONAL PVT LTD,"VIDEOTEX INTERNATIONAL (P)T LTD.75/4, KASNA 1, ECOTECH-1 EXTENSION 1, GAUTAM BUDDHA NAGAR, UTTAR PRADESH",,NOIDA,201310,TRUE
30108460,AMBER ENTERPRISES (INDIA) PVT LTD,"AMBER ENTERPRISES (INDIA) PVT LTD, P 14, STREET 1, SECTOR 3 MET INDUSTRIEAL COLOLNY, JHAJJAR GURGAON ROAD DISTT. JHAJJAR, JHAJJAR HARYANA INDIA",,JHAJJAR,124103,TRUE
30108484,DIXON TECHNOLOGIES (INDIA) LTD,"DIXON TECHNOLOGIES, C-3/1CENTRAL HOPE TOWN INDUSTRIAL AREA SELAQUI, DEHRADUN, UTTARANCHAL, 248197",,DEHRADUN,248197,TRUE
30108556,PG ELECTROPLAST PVT LTD,"PG ELECTROPLAST PVT LTD, KHASRA NO 268 AND 275, 15TH MILESTO, ROORKEE - DEHRADUN NATIONAL HIGHWAY, VILL-RAIPUR, PARGANA-BHAGWANPUR, HARIDWAR UTTARANCHAL",,ROORKEE,247667,TRUE
30109349,WESTWAY ELECTRONICS LTD,"SECTOR 84 GAUTAM BUDDHA NAGAR, A-001D UTTAR PRADESH, INDIA",,NOIDA,201305,TRUE
30304770,CREATIVE GARMENTS PVT LTD,"SURVEY/PLOT NO. 440/1, 2, 3, 443/1, 2, 482/1, 2, 3, 482/4&5 ( 1ST, 2ND FLR&EXCEPT 358.325 SQM.IN GR.FLR)482/2, NR.DABHELCHECK POST, DABHEL DAMAN & DNH",,DAMAN & DIU (UT),396210,TRUE
