Address Code,Address Title,Address Line 1,Address Line 2,City/Town,Postal Code,Country,GST Category,Origin Address,State
2803,RELIANCE RETAIL LTD UDAIPUR,"(2803), PLOT NO. 176A TAK COMPLEX FATEHPURA SCHEME FATEHPURA MAIN ROAD, UDAIPUR RAJASTHAN",313001,UDAIPUR,,India,Unregistered,TRUE,Gujarat
6205,CROWN INTERIORZ MALL,"CROWN INTERIORZ MALL 12/7, SECTOR-35, 21KM STONE, NH-2, NEAR SARAI KHWAJA, DELHI MATHURA ROAD, FARIDABAD, HARYANA, PIN NO - 121003",121003,FARIDABAD,,India,Unregistered,TRUE,Gujarat
8909,RRL CDIT ORION BUSINESS PARK,RELIANCE RETAIL LIMITED GROUND FLOR NEXT TO CINEWOUNDER MALL GB ROAD THANE GB ROAD THANE,400607,MUMBAI,,India,Unregistered,TRUE,Gujarat
9380,PL DMK AGRO COLD STORE RABALE,NAVI MUMBAI,400001,NAVI MUMBAI,,India,Unregistered,TRUE,Gujarat
382220,RAMDEV FOOD PRODUCTS PVT LTD,"RAMDEV SPICE WORLD, CHANGODER",322220,BAVLA,,India,Unregistered,TRUE,Gujarat
600124,HERBAL CONCEPTS,"PLOT NO. 2, SECTOR 1A, INTEGRATED INDUSTRIAL ESTATE, SIDCUL, 249403",249403,HARIDWAR,,India,Unregistered,TRUE,Gujarat
834010,NAMKUM INDUSTRIAL AREA,"AT: 10-P, NAMKUM INDUSTRIAL AREA, OPP. AAJ PRESS, RANCHI - 834010",834010,RANCHI,,India,Unregistered,TRUE,Gujarat
847234,M/S PANDOUL FLOUR MILLS PVT LTD.,"AT- PLOTE NO.-123, 125 & 127 PANDOUL INDUSTRIAL AREAPO/PS Â€“ PANDOUL, MADHUBANI SADAR, MADHUBANI, BIHAR - 847234",847234,MADHUBANI,,India,Unregistered,TRUE,Gujarat
10037115,JEETMAL LAKHMICHAND,KRISHI UPAJ MANDI,466116,ASHTA,,India,Unregistered,TRUE,Gujarat
10070498,ASIAN LAKTO INDUSTRIES LTD,"VPO JANDIALI, NEAR KOHARA, CHANDIGHAD ROAD, LUDHIANA",141001,LUDHIANA,,India,Unregistered,TRUE,Gujarat
10129676,BIKANERVALA FOODS PVT LTD,"BIKANERVALA FOODS PRIVATE LIMITED M MURAD GARHI, YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AREA NOIDA UP UTTAR PRADESH",203209,NOIDA,,India,Unregistered,TRUE,Gujarat
10135484,V.L.S. FOODS PVT LTD,"V.L.S. FOODS PVT LTD, H-1-1550 PH-I RICO INDL. AREA, BHIWADI DISTT. ALWAR, RAJASTHAN",301019,BHIWADI,,India,Unregistered,TRUE,Gujarat
10156959,ASHIRWAD OILS PVT LTD,"E 374 PHASE I, INDUSTRIAL AREA BHIWADI, ALWAR RAJASTHAN",301019,BHIWADI,,India,Unregistered,TRUE,Gujarat
10178928,HITKARI GRAM UDYOG SANGH,"VPO ISMAILLA 18 57 KM STONE DELHI ROHTAK ROAD ROHTAK ROHTAK, HARYANA INDIA PH",124001,ROHTAK,,India,Unregistered,TRUE,Gujarat
10187250,AKASH YOG HEALTH PRODUCTS PVT LTD,PLOT NO 03 SECTOR 1B IIE UTTARAKHAND SIDCUL HARIDWAR,249403,HARIDWAR,,India,Unregistered,TRUE,Gujarat
10199000,RAJEEV INDUSTRIES 36 INDUSTRIAL AREA,"RAJEEV INDUSTRIES TRILOKPUR ROAD KALA AMB KALA AMB SI SIRMAUR, HIMACHAL PRADESH INDIA",171226,SIRMAUR,,India,Unregistered,TRUE,Gujarat
10204267,DEEP GREEN INCORPORATION,"B-267, SECTOR-3, BAWANA INDUSTRIAL AREA, BAWANA, DELHI",110039,DELHI,,India,Unregistered,TRUE,Gujarat
10273893,VARK SNACK FOOD PVT LTD,"SP 1192 F RIICO INDUSTRIAL AREA PHASE IV, BHIWADI ALWAR, RAJASTHAN",301019,ALWAR,,India,Unregistered,TRUE,Gujarat
10281327,MEERUT PACKAGING INDUSTRIES,"KHASRA NO 740, 741, 745 & OTHERS, VILLAGE MUSSIORIE, NH-119, MAWANAROAD",250002,MEERUT,,India,Unregistered,TRUE,Gujarat
10348418,KAYEM FOOD INDUSTRIES PVT LTD,"PLOT NO. 2244-47, HSIIDC, INDUSTRIAL ESTATE, RAI SONIPAT, KAYEM FOOD, SONIPAT",131029,SONIPAT,,India,Unregistered,TRUE,Gujarat
10348425,KUMAR AGRO FOODS,"SURVEY NO 40, KUMAR COMPOUND, SOANSHIV VILLAGE, WADA TILSA ROAD, TALUKA WADA, DIST-PALGHAR, THANE, MAHARASHTRA",421303,THANE,,India,Unregistered,TRUE,Gujarat
10348434,BHAWANI SILICATE INDUSTRIES,A - 7 GANGWAL PARK JAIPUR,302004,JAIPUR,,India,Unregistered,TRUE,Gujarat
11100895,ABSTRACT MANNEQUINS,"ABSTRACT MANNEQUINS PVT LTD., PLOT NO 12 HEMLA INDUSTRIAL ESTATE, FARIDABAD : HR",121001,FARIDABAD,,India,Unregistered,TRUE,Gujarat
20001741,JAINAM INVAMED PVT LTD,"111/112, SHUBH INDUSTRIAL ESTATE, NEAR CHINCHPADA BUS STOP, WALIV ROAD, VASAI EAST Â€“ 401208, PALGHAR, MAHARASHTRA",103230,PALGHAR,,India,Unregistered,TRUE,Gujarat
20005115,RELISH FOODS,"KILERAMA, KHASRA NO 128 VILLAGE DALPATPURA, NEAR JATAKHEDA ROAD INDORE BHOPAL HIGHWAY, ASHTA, ASHTA MADHYA PRADESH",466116,ASHTA,,India,Unregistered,TRUE,Gujarat
29000563,BIKANERWALA FOOD PVT LTD,"KHASRA NO 1765, 66, 68, 69, 70, 71, 72, 73, 74, 75, 1872, 1873/2 &1874/2, VILLAGE JATOLA, TEHSIL KHARKHAUDA, KHARKHODA, SONIPAT, HARYANA",131 402,SONIPAT,,India,Unregistered,TRUE,Gujarat
30100885,VIDEOTEX INTERNATIONAL PVT LTD,"VIDEOTEX INTERNATIONAL (P)T LTD.75/4, KASNA 1, ECOTECH-1 EXTENSION 1, GAUTAM BUDDHA NAGAR, UTTAR PRADESH",201310,NOIDA,,India,Unregistered,TRUE,Gujarat
30108460,AMBER ENTERPRISES (INDIA) PVT LTD,"AMBER ENTERPRISES (INDIA) PVT LTD, P 14, STREET 1, SECTOR 3 MET INDUSTRIEAL COLOLNY, JHAJJAR GURGAON ROAD DISTT. JHAJJAR, JHAJJAR HARYANA INDIA",124103,JHAJJAR,,India,Unregistered,TRUE,Gujarat
30108484,DIXON TECHNOLOGIES (INDIA) LTD,"DIXON TECHNOLOGIES, C-3/1CENTRAL HOPE TOWN INDUSTRIAL AREA SELAQUI, DEHRADUN, UTTARANCHAL, 248197",248197,DEHRADUN,,India,Unregistered,TRUE,Gujarat
30108556,PG ELECTROPLAST PVT LTD,"PG ELECTROPLAST PVT LTD, KHASRA NO 268 AND 275, 15TH MILESTO, ROORKEE - DEHRADUN NATIONAL HIGHWAY, VILL-RAIPUR, PARGANA-BHAGWANPUR, HARIDWAR UTTARANCHAL",247667,ROORKEE,,India,Unregistered,TRUE,Gujarat
30109349,WESTWAY ELECTRONICS LTD,"SECTOR 84 GAUTAM BUDDHA NAGAR, A-001D UTTAR PRADESH, INDIA",201305,NOIDA,,India,Unregistered,TRUE,Gujarat
30307006,"NYLON HOSIERY MILLS, LUDHIANA","B-32, E14/2004, GURBAX NAGAR, NEAR METRO G.T. ROAD. JALANDHER BYE PASS, LUDHIANA",141008,LUDHIANA,,India,Unregistered,TRUE,Gujarat
30402832,DAZZLE FOOTWEAR,"SELAQUI, DEHRADUN, SELAQUI",248197,DEHRADUN,,India,Unregistered,TRUE,Gujarat
30403131,BAHADURGARH,"SUPER KICKS, PLOT NO. 168, SECTOR 16, HSIIDC, BAHADURGARH, JAHAJJR, HARYANA",124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
30403412,KALZADO INITIATIVES LLP,"CENTRAL, HOPE TOWN KHASRA NO 323 MI TEHSIL, VIKAS NAGAR, SELAQUI SARA INDUSTRIAL ESTATE, DEHARADUN",248197,DEHRADUN,,India,Unregistered,TRUE,Gujarat
30850086,ALSTEN ENTERPRISES,PLOT NO. 848 & 849 MIE PART - A BAHADURGARH HARYANA,124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
30850092,OM POLYMERS,1404 &1417 MIE PART-B BAHADURGARH ( H.R,124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
30850635,SKG PLASTICS PVT LTD,"PLOT NO 267, SECTOR-17, FOOTWEAR PARK, BAHADURGARH, HARYANA",124507,BAHADURGARH,,India,Unregistered,TRUE,Gujarat
32000371,RRL TRENDS JAIPUR,"180 GANGA VIHAR COLONY, MANGYAWAS. NEAR BHARAT MATA CIRCLE, MANSAROVER, JAIPUR, RAJASTHAN",302020,JAIPUR,,India,Unregistered,TRUE,Gujarat
32000828,"F 199, EPIP, SITAPURA, JAIPUR","F 199, EPIP, SITAPURA, JAIPUR (RAJ) INDIA",302022,JAIPUR,,India,Unregistered,TRUE,Gujarat
32000829,SAMARTH ENTERPRISES,"F-92, PRAHLADPURA INDUSTRIAL AREA, SITAPURA, JAIPUR, RAJASTHAN",302022,JAIPUR,,India,Unregistered,TRUE,Gujarat
32000830,LILADHAR CRAFTS,"PLOT NO.8-9, RAM RATAN COLONY B MUKUNDPURA ROAD, BHANKROTA JAIPUR RAJASTHAN",302026,JAIPUR,,India,Unregistered,TRUE,Gujarat
32000837,JAIN SHWETAMBER,"MOORTI KALA KENDRA, 1975, 4TH CROSSING KHANJANE WALON KA RASTA, CHANDPOL JAIPUR RAJASTHAN",302001,JAIPUR,,India,Unregistered,TRUE,Gujarat
32001092,RAM GOPAL BLUE POTTERY,"81, VISHNU GARDEN OPP. SANGANER AIRPORT TONK ROAD JAIPUR, RAJASTHAN",302029,JAIPUR,,India,Unregistered,TRUE,Gujarat
32001135,LIVING COCOON RETAIL LTD,F-191 SITAPURA INDUSTRIES AREA JAIPUR RAJASTHAN,302022,JAIPUR,,India,Unregistered,TRUE,Gujarat
32001152,RAMESH HANDICRAFTS,"70, OLD AMER ROAD, JDA MARKET, KANWAR NAGAR, OPP. VIJAY SENIOR SCHOOL, JAIPUR, RAJASTHAN",302002,JAIPUR,,India,Unregistered,TRUE,Gujarat
32001157,ABHINAV CRAFT,"F-2150/2151, RIICO INDUSTRIAL AREA RAMCHANDRAPURA, SITAPURA",302022,SITAPURA,,India,Unregistered,TRUE,Gujarat
32001159,RK DESIGN,"56, BUS STAND, VILL KHORA SHYAMDAS, TEHSIL AMER JAIPUR RAJASTHAN",303704,JAIPUR,,India,Unregistered,TRUE,Gujarat
