Address Title,Address Code,Address Line 1,Postal Code,City,State,Origin Address
10117747,Sree Sai Roller Flour Mill Pvt Ltd.,"Unit-2, Plot No.48, IDA Phase-2, TSIIC, Industrial Area, Patancheru, Hyderabad. Telangana",502319,HYDERABAD,TELANGANA,TRUE
10181769,DHARMESH FOOD PROCESS PVT LTD,BHAVNAGAR,364001,BHAVNAGAR,GUJARAT,TRUE
10241002,"AKSHAT AGRO MILLING COMPANY PVT LTD, NIMRANI",INDUSTRIAL AREA AB ROAD NIMRANI KHARGONE KHANDWA EAST NIMAR Madhya Pradesh ,451001,NIMRANI,MADHYA PRADESH,TRUE
10303208,Bikanervala Foods Private Limited,"Plot No. 34-37, Industrial Park, Muppireddpally Village, Manoharabad, Medak, Telangana, ",502336,HYDERABAD,TELANGANA,TRUE
10324919,GREENFIZZ BEVERAGES PRIVATE LIMITED,"MOUJA - AJABNAGAR, P.O. MOLLA SIMLA, P.S., SINGUR, DIST - HOOGHLY, HOOGHLY, WEST BENGAL",712223,HOOGHLY,WEST BENGAL,TRUE
10333601,Zion Aqua,"VILLAGE SARABERIYA,PIRGACHA, PS : DUTTAPUKUR, P.O : KADAMBAGACHI, NORTH TWENTY FOUR PARGANAS, WEST BENGAL",700124,BARASAT,WEST BENGAL,TRUE
10348434,JAIPUR 10348434,JAIPUR,,JAIPUR,RAJASTHAN,TRUE
2.00E+09,Nancy Trading Link,"Block No,-58/1 OR 59/1, OCTRIO free zone,Bhandara road,Wardhman nagar,Nagpur,Maharashtra-,      ",440008,NAGPUR,MAHARASHTRA,TRUE
20.0183762,PARVATI ENTERPRISES,YAMUNANAGAR,,YAMUNANAGAR,HARYANA,TRUE
2000163322,XCEL INDIA,"Block 14, Sector 116 , Noida UP ",201305,NOIDA,UTTAR PRADESH,TRUE
2000163380,Mohit Enterprises,"Near Denso LTD, Village Tilpta karanwas, Greater Noida",201308,NOIDA,UTTAR PRADESH,TRUE
2000163586,SHIV LOK PURI 363/369 KANKERKHERA,SHIV LOK PURI 363/369 KANKERKHERA,250001,KANKERKHERA,UTTAR PRADESH,TRUE
2000163720,Coslogenex solutions,"22, Kapil Vihar Colony, Banna Devi, G. T. Road, Aligarh,",202001,Aligarh,UTTAR PRADESH,TRUE
2000163724,ASHISH MARKETING,"Plot No. C-65, Road No. 1 C, V.K.i  Area , Jaipur ",302013,JAIPUR,RAJASTHAN,TRUE
2000163901,PANTRY CART EBUSINESS,"705, MAIN ROAD HERLE KOLHAPUR  ",416005,KOLHAPUR,MAHARASHTRA,TRUE
