Business Format,Description,Billing Start date,Billing End Date
AMAZON,AMAZON,01-02-2026,28-02-2026
JIO,RELIANCE JIO,01-02-2026,28-02-2026
MILKBASKET,MILKBASKET RELIANCE RETAIL LTD,01-02-2026,28-02-2026
RCPL,RELIANCE - RELIANCE CONSUMER PRODUCTS LTD,01-02-2026,28-02-2026
RCPL - BEVERAGES,RCPL - BEVERAGES,01-02-2026,28-02-2026
RCPL - FMCG,RCPL - FMCG,01-02-2026,28-02-2026
RCPL - RM & PM,RCPL - RAW MATERIAL & PACKING MATERIAL,01-02-2026,28-02-2026
RCPL - STAPLES,RCPL - STAPLES,01-02-2026,28-02-2026
RR - CDIT (SANDIP SANAP),RR PBG STO - BILLING BY SANDIP SANAP,29-01-2026,28-02-2026
RR - CDIT (SHANKAR NAIK),RR - CDIT BILLING BY SHANKAR NAIK,29-01-2026,28-02-2026
RR - CDIT SO PBG (RHYECS GAIKE),CDIT (SO PBG),29-01-2026,28-02-2026
RR - NETMEDS,RELIANCE-NETMEDS (PHARMA BUSINESS),01-02-2026,28-02-2026
RR - TIRA,RRL - TIRA (BEAUTY BUSINESS),01-02-2026,28-02-2026
RR - TRENDS,RRL -TRENDS,22-01-2026,21-02-2026
RR - VF (GROCERY),RRL - VF,21-01-2026,20-02-2026
RR - WET,VF WET BUSINESS,21-01-2026,20-02-2026
UNKNOWN FORMAT/COMPANY,RELIANCE-MISC,01-02-2026,28-02-2026
