Name,State,Country
ABHOR,Punjab,INDIA
ACHALPUR,Maharashtra,INDIA
ADALAJ,Gujarat,INDIA
AGRA,Uttar Pradesh,INDIA
AHMEDABAD,Gujarat,INDIA
AHMEDNAGAR,Maharashtra,INDIA
AJMER,Rajasthan,INDIA
AKBARPURA,Haryana,INDIA
AKOLA,Maharashtra,INDIA
ALAPPUZHA,Keralam,INDIA
ALIGARH,Uttar Pradesh,INDIA
ALIPUR,Delhi,INDIA
ALIPURDUAR,West Bengal,INDIA
ALLAHABAD,Uttar Pradesh,INDIA
ALWAR,Rajasthan,INDIA
AMAINER,Maharashtra,INDIA
AMBALA,Haryana,INDIA
AMBERNATH,Maharashtra,INDIA
AMBIKAPUR,Chandigarh,INDIA
AMRAVATI,Maharashtra,INDIA
AMRELI,Gujarat,INDIA
AMRITSAR,Punjab,INDIA
ANAKAPALLI,Andhra Pradesh,INDIA
ANAND,Gujarat,INDIA
ANANTAPUR,Andhra Pradesh,INDIA
ANKALESHWAR,Gujarat,INDIA
ARUPPUKKOTTAI,Tamil Nadu,INDIA
ASANGAON,Maharashtra,INDIA
ASANSOL,West Bengal,INDIA
ASHOKNAGAR,Madhya Pradesh,INDIA
ASHTA,Madhya Pradesh,INDIA
AURANGABAD,Maharashtra,INDIA
AYODHYA,Uttar Pradesh,INDIA
AZAMGARH,Uttar Pradesh,INDIA
BADLAPUR,Maharashtra,INDIA
BADLI,Haryana,INDIA
BADNAWAR,Madhya Pradesh,INDIA
BAGHPAT,Uttar Pradesh,INDIA
BAGRU,Rajasthan,INDIA
BAHADURGARH,Haryana,INDIA
BAHRAICH,Uttar Pradesh,INDIA
BAKOLI,Delhi,INDIA
BALAGHAT,Madhya Pradesh,INDIA
BALASORE,Odisha,INDIA
BALESWAR,Odisha,INDIA
BALLABHGARH,Haryana,INDIA
BALLIA,Uttar Pradesh,INDIA
BALOTRA,Rajasthan,INDIA
BALRAMPUR,Uttar Pradesh,INDIA
BANASANKTHA,Gujarat,INDIA
BANDA,Uttar Pradesh,INDIA
BANGALORE,Karnataka,INDIA
BANSWARA,Rajasthan,INDIA
BANUR,Punjab,INDIA
BARABANKI,Uttar Pradesh,INDIA
