Name,State,Country
ABHOR,PUNJAB,INDIA
ACHALPUR,MAHARASHTRA,INDIA
ADALAJ,GUJARAT,INDIA
AGRA,UTTAR PRADESH,INDIA
AHMEDABAD,GUJARAT,INDIA
AHMEDNAGAR,MAHARASHTRA,INDIA
AJMER,RAJASTHAN,INDIA
AKBARPURA,HARYANA,INDIA
AKOLA,MAHARASHTRA,INDIA
ALAPPUZHA,KERALAM,INDIA
ALIGARH,UTTAR PRADESH,INDIA
ALIPUR,DELHI,INDIA
ALIPURDUAR,WEST BENGAL,INDIA
ALLAHABAD,UTTAR PRADESH,INDIA
ALWAR,RAJASTHAN,INDIA
AMAINER,MAHARASHTRA,INDIA
AMBALA,HARYANA,INDIA
AMBERNATH,MAHARASHTRA,INDIA
AMBIKAPUR,CHANDIGARH,INDIA
AMRAVATI,MAHARASHTRA,INDIA
AMRELI,GUJARAT,INDIA
AMRITSAR,PUNJAB,INDIA
ANAKAPALLI,ANDHRA PRADESH,INDIA
ANAND,GUJARAT,INDIA
ANANTAPUR,ANDHRA PRADESH,INDIA
ANKALESHWAR,GUJARAT,INDIA
ARUPPUKKOTTAI,TAMIL NADU,INDIA
ASANGAON,MAHARASHTRA,INDIA
ASANSOL,WEST BENGAL,INDIA
