Customer Name,GST Category,GSTIN / UIN,PAN
ADITI LOGISTICS,Unregistered,,
AMAZON SELLER SERVICES,Unregistered,29AAICA3918J1ZE,AAICA3918J
ARP LOGISTICS (NAGPUR),Unregistered,,
BHARDWAJ CONTAINER SERVICE (AHMEDABAD),Unregistered,,
BOMBAY TRANSPORT CORPORATION OF INDIA,Unregistered,,
CHIRAG TRANSPORT SERVICE (AHMADABAD),Unregistered,,
KASHIRAJ TRANSPORT SERVICE (BHIWANDI),Unregistered,,
KRISHNA CARGO MOVER (INDORE),Unregistered,,
KURESHI TRANSPORT,Unregistered,,
MAA BHAWANI CONTAINER SERVICE (ASLALI),Unregistered,,
MAHESHWARI TRANSPORT (NAGPUR),Unregistered,,
MANSI FREIGHT CARRIERS,Unregistered,,
MARUTI CARGO ( PUSHPENDRA UDAIPUR),Unregistered,,
MAULI KRUPA TRANSPORT SERVICES (PUNE),Unregistered,,
NARAYAN MURTHY TRANSPORT COMPANY (MUMBAI),Unregistered,,
NEW KOHLI ROADLINES (JABALPUR),Unregistered,,
PAL PARIVAHAN (AHMEDABAD),Unregistered,,
PAREEK TRANSPORT (ASLALI),Unregistered,,
QWIK SUPPLY CHAIN PVT. LTD.,Unregistered,,AAACF5232A
RAGHVENDA TRANSPORT COMPANY (BHOPAL),Unregistered,,
RAM ROADWAYS (AHMEDABAD),Unregistered,,
RAMDOOT ROADWATS,Unregistered,,
RAVI CARRYING CORPORTION (VADODARA),Unregistered,,
RELIANCE RETAIL LTD - ANDHRA PRADESH,Unregistered,37AABCR1718E1ZO,AABCR1718E
RELIANCE RETAIL LTD - ARUNACHAL PRADESH,Unregistered,,AABCR1718E
RELIANCE RETAIL LTD - ASSAM,Unregistered,18AABCR1718E1ZO,AABCR1718E
RELIANCE RETAIL LTD - BIHAR,Unregistered,10AABCR1718E1Z4,AABCR1718E
RELIANCE RETAIL LTD - CHANDIGARH,Unregistered,04AABCR1718E1ZX,AABCR1718E
RELIANCE RETAIL LTD - CHHATISGARH,Unregistered,22AABCR1718E1ZZ,AABCR1718E
RELIANCE RETAIL LTD - DADAR & NAGAR HAVELI,Unregistered,26AABCR1718E1ZR,AABCR1718E
RELIANCE RETAIL LTD - DAMAN & DIU (UT),Unregistered,0,AABCR1718E
RELIANCE RETAIL LTD - DELHI,Unregistered,07AABCR1718E1ZR,AABCR1718E
RELIANCE RETAIL LTD - GOA,Unregistered,30AABCR1718E1Z2,AABCR1718E
