Name,Description
30 MT OPEN TRUCK,30 MT OPEN TRUCK
9 MT CLOSE TRUCK,9 MT
CBT 407 EQ - CODE 6,407 EQ CLOSED 2.5 MT CONT
OBT 407 EQ - CODE 7,407 EQ OPEN 2.5MT OPEN
OBT 709 EQ (14/16FT) - CODE 11,709 EQ OPEN 4MT OPEN
CBT 709 EQ (14/16FT) - CODE 9,709 EQ CLOSED 4 MT CONT
909 EQ OPEN (6 MT) - CODE 16,6 MT
CBT 909 EQ (17FT) - CODE 13,909 EQ CLOSED 5.5 MT
1109EQ OPEN (8 MT) - CODE 20,8 MT
1109EQ CLOSE 20FT (7 MT) - CODE 18,7 MT
1613EQ CLOSE 32FT (7 MT) - CODE 25,7 MT 32 FT SLX
1613EQ CLOSE 24FT (8 MT) - CODE 23,8 MT 24 FT SLX
2515EQ OPEN TRUCK (16MT) - CODE 33,16 MT OPEN TRUCK
2515EQ CLOSE 32FT (14 MT) - CODE 31,14 MT 32 FT MXL
2515EQ  CLOSE 32FT (18 MT) - CODE 246,18 MT 32 FT MXL
3118 OPEN (21 MT) - CODE 171,21 MT OPEN
3118 CLOSE 32FT (21 MT),21 MT 32 FT 3XLS 
BOLERO/TATA PICKUP - CODE 119,BOLERO/TATA PICK-UP
MOTOR CYCLE,COMPANY MOTOR CYCLE HERO HONDA
COMPANY CAR,MARUTI SUZUKI DZIRE CAR
3718EQ OPEN (25 MT) - CODE 42,3718 25 MT OPEN TRUCK
407EQ CLOSE 14FT (3.5 MT),LARGE 407
18 MT OPEN TRUCK,18 MT OPEN TRUCK
1613EQ OPEN,1613EQ OPEN
207EQ CLOSE (1.2 MT),207EQ CLOSE (1.2 MT)
207EQ OPEN (1.5 MT),207EQ OPEN (1.5 MT)
9 MT OPEN TRUCK,9 MT OPEN TRUCK
2515EQ OPEN (16 MT),2515EQ OPEN (16MT)
16 MT/Closed,16 MT/Closed
TRUCK 8MT 22FT CONTAINER,TRUCK 8MT 22 FT CLOSED
TRUCK 9MT 32FT SXL CLOSED,TRUCK 9MT 32FT CONTAINER
